Original Name,Cleaned Name,Href,Crime Data,NAME,NETWORK
Ladbroke Grove (LU Station),Ladbroke Grove (LU Station),/data/6495069,24,Ladbroke Grove,London Underground
Lambeth North (LU Station),Lambeth North (LU Station),/data/7680211,6,Lambeth North,London Underground
Lancaster Gate (LU Station),Lancaster Gate (LU Station),/data/9281012,11,Lancaster Gate,London Underground
Langdon Park (DLR),Langdon Park (DLR),/data/8201619,12,Langdon Park,DLR
Latimer Road (LU Station),Latimer Road (LU Station),/data/6486886,6,Latimer Road,London Underground
Leicester Square (LU Station),Leicester Square (LU Station),/data/9281000,319,Leicester Square,London Underground
Lewisham (DLR),Lewisham (DLR),/data/8199896,17,Lewisham,DLR
Leyton (LU Station),Leyton (LU Station),/data/8042932,35,Leyton,London Underground
Leytonstone (LU Station),Leytonstone (LU Station),/data/7698839,53,Leytonstone,London Underground
Limehouse (DLR),Limehouse (DLR),/data/9249829,17,Limehouse,DLR
Liverpool Street (LU Station),Liverpool Street (LU Station),/data/9283498,240,Liverpool Street,London Underground
London Bridge (LU Station),London Bridge (LU Station),/data/9284554,259,London Bridge,London Underground
London City Airport (DLR),London City Airport (DLR),/data/9263743,5,London City Airport,DLR
London Victoria (LU Station),London Victoria (LU Station),/data/9265254,233,London Victoria,London Underground
Loughton (LU Station),Loughton (LU Station),/data/8052324,46,Loughton,London Underground
Maida Vale (LU Station),Maida Vale (LU Station),/data/9281380,4,Maida Vale,London Underground
Manor House (LU Station),Manor House (LU Station),/data/9280911,31,Manor House,London Underground
Mansion House (LU Station),Mansion House (LU Station),/data/9283857,6,Mansion House,London Underground
Marble Arch (LU Station),Marble Arch (LU Station),/data/9281004,64,Marble Arch,London Underground
Marylebone (LU Station),Marylebone (LU Station),/data/8200667,14,Marylebone,London Underground
Mill Hill East (LU Station),Mill Hill East (LU Station),/data/9042348,10,Mill Hill East,London Underground
Monument (Gt London) (LU Station),Monument (LU Station),/data/8005645,21,Monument,London Underground
Moor Park (LU Station),Moor Park (LU Station),/data/9284117,12,Moor Park,London Underground
Moorgate (LU Station),Moorgate (LU Station),/data/9255940,37,Moorgate,London Underground
Morden (LU Station),Morden (LU Station),/data/6225249,20,Morden,London Underground
Mornington Crescent (LU Station),Mornington Crescent (LU Station),/data/9249083,19,Mornington Crescent,London Underground
Mudchute (DLR),Mudchute (DLR),/data/9250054,2,Mudchute,DLR
Neasden (LU Station),Neasden (LU Station),/data/9257158,19,Neasden,London Underground
