MSOAC,MSOAHOCLN,LAD19C,LAD19N,REG,LSOACOUNT,POPMID15,IMD19 SCORE,MSOARANK,MSOADECILE,MSOAQUINTILE
E02000275,Norwood Green South,E09000009,Ealing,London,4,7544,28.17782755,1766,3,2
E02000276,South Ealing,E09000009,Ealing,London,4,6562,13.74185614,4470,7,4
E02000277,Bullsmoor & Freezywater,E09000010,Enfield,London,4,7411,26.28489745,2044,4,2
E02000278,Turkey Street,E09000010,Enfield,London,5,9439,38.42983081,825,2,1
E02000279,Enfield Lock,E09000010,Enfield,London,6,12478,32.44872303,1292,2,1
E02000280,Chase & Crews Hill,E09000010,Enfield,London,5,8611,21.46844838,2769,5,3
E02000281,Carterhatch & Forty Hall,E09000010,Enfield,London,5,8978,27.97208744,1799,3,2
E02000282,Enfield Wash,E09000010,Enfield,London,5,9562,40.06445953,705,2,1
E02000283,Brimsdown Avenue,E09000010,Enfield,London,5,8603,31.00121353,1440,3,2
E02000284,Chase Side,E09000010,Enfield,London,5,8507,17.07098378,3621,6,3
E02000285,Enfield Town North,E09000010,Enfield,London,4,6559,11.39191203,5129,8,4
E02000286,Chase Farm & The Ridgeway,E09000010,Enfield,London,5,8529,16.91281827,3653,6,3
E02000287,Cockfosters & Hadley Wood,E09000010,Enfield,London,4,6860,13.16040437,4626,7,4
E02000288,Southbury East,E09000010,Enfield,London,6,10771,33.57948538,1162,2,1
E02000289,World's End,E09000010,Enfield,London,4,6597,10.25233727,5470,9,5
E02000290,Brimsdown & Ponders End,E09000010,Enfield,London,4,7103,38.83932071,792,2,1
E02000291,Enfield Town South & Bush Hill Park,E09000010,Enfield,London,5,9784,22.76904303,2542,4,2
E02000292,Southbury West,E09000010,Enfield,London,6,9852,21.6303512,2746,5,3
E02000293,Grange Park,E09000010,Enfield,London,4,6542,10.69965041,5335,8,4
E02000294,Ponders End South,E09000010,Enfield,London,5,9342,29.83809002,1550,3,2
E02000295,Oakwood Park & Highlands,E09000010,Enfield,London,5,8948,14.26416227,4328,7,4
E02000296,Southgate,E09000010,Enfield,London,5,10037,18.73659699,3307,5,3
E02000297,Bury Street West & Village Road,E09000010,Enfield,London,6,9682,11.15384797,5199,8,4
E02000298,Winchmore Hill,E09000010,Enfield,London,5,8190,8.6342442,5903,9,5
E02000299,Lower Edmonton North,E09000010,Enfield,London,5,9787,34.10902892,1113,2,1
E02000300,Haslebury North,E09000010,Enfield,London,5,8833,31.69063489,1378,3,2
E02000301,Lower Edmonton South,E09000010,Enfield,London,6,10923,39.40452037,753,2,1
E02000302,Palmers Green East,E09000010,Enfield,London,5,8747,19.46155733,3143,5,3
E02000303,Haslebury South,E09000010,Enfield,London,5,9113,39.4957091,747,2,1
E02000304,Southgate Green,E09000010,Enfield,London,5,8058,9.395457434,5716,9,5
E02000305,Palmers Green West,E09000010,Enfield,London,5,9166,15.37260484,4025,6,3
E02000306,Edmonton Green,E09000010,Enfield,London,5,9674,43.56118441,535,1,1
E02000307,Tatem Park,E09000010,Enfield,London,6,10056,25.02769212,2222,4,2
E02000308,New Southgate & Arnos Grove,E09000010,Enfield,London,5,8201,21.17568638,2820,5,3
E02000309,Upper Edmonton East & Meridian Water,E09000010,Enfield,London,6,11664,38.22551166,841,2,1
E02000311,Bowes,E09000010,Enfield,London,6,10667,26.65358461,1987,3,2
E02000312,Broomfield Park,E09000010,Enfield,London,6,11432,19.41314521,3152,5,3
E02000313,Thamesmead Birchmere Park,E09000011,Greenwich,London,4,7342,29.03408485,1650,3,2
E02000314,West Thamesmead,E09000011,Greenwich,London,7,15395,23.20132939,2478,4,2
E02000315,Abbey Wood North,E09000011,Greenwich,London,5,9607,36.29012033,949,2,1
E02000316,"Woolwich Dockyard, Arsenal & Charlton Riverside",E09000011,Greenwich,London,8,12869,23.83605983,2390,4,2
E02000317,Woolwich West,E09000011,Greenwich,London,5,8685,32.47226068,1291,2,1
E02000318,Plumstead High Street,E09000011,Greenwich,London,5,10662,26.53644485,2003,3,2
E02000319,Plumstead Common & Riverside,E09000011,Greenwich,London,6,12100,24.1716814,2344,4,2
E02000320,Abbey Wood South,E09000011,Greenwich,London,4,7328,22.93000341,2518,4,2
