ATCOCode,ATCOCode_revised,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMAOMP1,940GZZMAOMP1,mantptap,,,Oldham Mumps (Manchester Metrolink),,Oldham Mumps,,,,Mumps,,,,To Rochdale,,,N0075108,Oldham Mumps,Oldham,,,,,,1,UKOS,393242,405095,-2.103450251,53.54245415,PLT,,,,,,147,2012-04-04T16:24:00,2021-04-16T09:27:13,7,revise,active
9400ZZMAOMP2,940GZZMAOMP2,mantpwgp,,,Oldham Mumps (Manchester Metrolink),,Oldham Mumps,,,,Mumps,,,,To Manchester,,,N0075108,Oldham Mumps,Oldham,,,,,,1,UKOS,393246,405086,-2.103389693,53.54237331,PLT,,,,,,147,2012-10-17T15:41:00,2021-04-16T09:27:13,8,revise,active
9400ZZMAPAR,940GZZMAPAR,manpar,,,Parkway (Manchester Metrolink),,Parkway,,,,Village Way,,,,,,,E0029470,Trafford Park,,,,,,,0,UKOS,378597,396879,-2.323879785,53.46821084,MET,,,,,,147,2020-02-26T11:55:43,2021-04-27T12:13:28,3,revise,active
9400ZZMAPAR1,940GZZMAPAR1,manvpara,,,Parkway (Manchester Metrolink),,Parkway,,,,Village Way,,,,To Manchester,,,E0029470,Trafford Park,,,,,,,0,UKOS,378598,396885,-2.323865132,53.46826481,PLT,,,,,,147,2020-02-26T11:55:43,2021-04-16T09:27:13,2,revise,active
9400ZZMAPAR2,940GZZMAPAR2,manvparb,,,Parkway (Manchester Metrolink),,Parkway,,,,Village Way,,,,To The Trafford Centre,,,E0029470,Trafford Park,,,,,,,0,UKOS,378596,396876,-2.323894643,53.46818384,PLT,,,,,,147,2020-02-26T11:55:43,2021-04-16T09:27:13,2,revise,active
9400ZZMAPGD,940GZZMAPGD,mantmwam,,,Piccadilly Gardens (Manchester Metrolink),,Piccadilly Gardens,,The Portland,,Parker Street,,,,,,,N0075071,Piccadilly Gardens,Manchester City Centre,,,,,,1,UKOS,384369,398199,-2.236998233,53.4802797,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,5,revise,active
9400ZZMAPGD1,940GZZMAPGD1,mantpjgd,,,Piccadilly Gardens (Manchester Metrolink),,Piccadilly Gardens,,The Portland,,Parker Street,,,,From City,,,N0075071,Piccadilly Gardens,Manchester City Centre,,,,,,1,UKOS,384374,398199,-2.236922893,53.48027985,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAPGD2,940GZZMAPGD2,mantpjga,,,Piccadilly Gardens (Manchester Metrolink),,Piccadilly Gardens,,The Portland,,Parker Street,,,,To City,,,N0075071,Piccadilly Gardens,Manchester City Centre,,,,,,1,UKOS,384364,398201,-2.237073673,53.48029753,PLT,,,,,,147,2011-02-09T14:58:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAPIC,940GZZMAPIC,mantmwap,,,Piccadilly (Manchester Metrolink),,Piccadilly,,Piccadilly Rail Station,,Off Fairfield Street,,,,,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384789,397841,-2.2306522,53.47707426,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,6,revise,active
9400ZZMAPIC1,940GZZMAPIC1,mantpjdw,,,Piccadilly (Manchester Metrolink),,Piccadilly,,Piccadilly Rail Station,,Off Fairfield Street,,,,From City,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384792,397848,-2.230607341,53.47713727,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,9,revise,active
